hala_sifra,hala_naziv,polica_sifra,polica_naziv
HALA 3,Hala 3-magacin,F71,Magacin
HALA 3,Hala 3-magacin,F72,Magacin
HALA 3,Hala 3-magacin,F73,Magacin
HALA 3,Hala 3-magacin,F74,Magacin
HALA 3,Hala 3-magacin,F75,Magacin
HALA 3,Hala 3-magacin,F76,Magacin
HALA 3,Hala 3-magacin,F77,Magacin
HALA 3,Hala 3-magacin,F78,Magacin
HALA 3,Hala 3-magacin,F79,Magacin
HALA 3,Hala 3-magacin,F8,Magacin
HALA 3,Hala 3-magacin,F80,Magacin
HALA 3,Hala 3-magacin,F9,Magacin
HALA 3,Hala 3-magacin,KAVEZ 1,Kavez 1
MAG,Centralni magacin,K-A6,FARBANJE
MAG,Centralni magacin,K-B6,ZAVARIVANJE
MAG,Centralni magacin,K-C6,ZAVRŠNA
MAG,Centralni magacin,K-D,DORADA
MAG,Centralni magacin,K-MG,MAGACIN
MAG,Centralni magacin,K-MG3,MAGACIN_H3
MAG,Centralni magacin,K-MG4,MAGACIN_H4
MAG,Centralni magacin,K-MG8,MAGACIN_H8
MAG,Centralni magacin,K-S,ŠKART
